BRINDISI,LECCE
9.0,0.0
16.0,5.0
43.0,33.5
72.5,61.0
-1.0,-9.0
40.5,31.0
16.0,7.0
23.0,14.0
17.0,7.5
-1.0,-10.5
-2.0,-9.0
2.0,-8.0
35.5,25.5
13.0,2.5
19.0,21.5
6.0,-3.5
-1.0,-10.5
7.0,-0.5
5.5,-4.0
9.5,-0.5
10.0,0.0
37.5,26.5
7.5,-4.0
12.5,2.5
6.0,-4.0
-1.0,-10.0
-1.0,-9.0
6.0,-4.5
108.0,97.5
26.0,17.0
2.5,-6.5
0.5,-10.5
-1.5,-10.0
23.5,12.5
5.0,-4.5
-1.5,-9.5
7.0,-3.5
1.0,-8.5
3.0,-7.5
46.5,35.5
6.5,-4.0
26.0,21.5
7.0,-1.5
40.5,33.5
39.5,34.0
37.5,28.0
30.0,19.0
59.0,50.5
0.0,-10.5
9.0,-2.5
1.0,-7.0
6.0,-4.0
17.0,5.5
21.5,12.0
33.0,25.5
-2.0,-9.0
3.0,-7.5
6.5,-4.0
75.0,65.5
27.5,20.5
5.0,-3.5
7.0,-2.0
10.5,0.5
2.5,-9.0
1.0,-8.5
0.0,-9.0
13.0,2.0
43.0,36.5
-1.0,-6.0
111.0,102.5
30.0,22.5
-0.5,-9.5
60.0,51.5
7.0,-4.5
25.5,17.0
33.0,22.5
60.5,51.0
3.0,-6.5
56.0,46.0
10.5,-0.5
13.0,2.0
55.0,44.5
14.0,4.5
33.0,24.0
35.0,25.0
7.0,-3.0
8.5,2.0
16.5,6.5
2.0,-4.0
27.0,19.0
6.0,-5.0
8.5,-0.5
15.0,7.0
18.5,8.0
13.0,3.0
14.0,2.5
1.0,-8.5
20.5,14.5
25.0,17.0
17.5,6.5
18.0,8.0
15.5,9.0
23.0,13.0
2.5,-5.5
31.0,21.0
18.0,9.5
35.0,26.0
19.0,9.5
1.0,-9.5
29.5,19.0
15.0,4.5
70.0,59.0
33.5,23.0
6.5,-3.0
23.5,13.0
7.0,-1.5
73.0,62.5
34.0,23.5
16.0,5.5
-2.5,-7.0
6.5,-3.0
10.5,0.5
28.0,20.5
43.0,33.5
20.5,10.0
90.0,81.0
10.5,4.0
