BOLOGNA C.LE,ROVIGO
9.5,11.0
5.0,5.5
37.5,44.5
6.0,9.0
12.0,12.0
6.5,12.0
5.5,5.0
13.0,12.5
8.0,8.5
12.5,13.0
15.5,16.5
7.5,6.0
7.0,11.5
3.5,7.0
5.5,8.0
1.0,4.5
8.0,8.5
16.5,17.0
9.5,11.0
11.0,16.0
11.5,15.0
11.0,9.5
6.5,7.5
10.0,9.5
9.0,11.0
10.0,8.5
5.5,5.0
11.5,15.0
33.5,38.5
13.0,16.0
0.5,3.0
15.0,20.0
18.0,22.5
8.0,11.5
11.5,16.5
1.5,6.0
6.5,5.0
9.0,11.0
9.5,10.5
6.5,5.5
11.5,10.0
7.5,9.0
1.5,5.5
10.5,12.5
1.5,6.5
13.5,15.0
6.5,8.0
13.5,19.5
9.0,6.0
9.5,12.0
16.5,18.0
8.5,7.5
7.5,6.0
7.5,7.0
2.5,8.5
7.5,7.0
4.0,2.0
11.0,27.0
6.0,5.0
4.5,6.5
8.5,9.5
0.5,18.5
