VAIANO,PRATO CENTRALE
-1.5,-0.5
0.5,-2.0
-2.0,0.0
-1.0,0.0
-1.5,-0.5
1.5,-1.0
-2.5,-1.0
-1.5,0.0
3.0,3.0
-1.5,-3.5
-0.5,0.5
-1.5,0.0
3.5,1.5
1.0,1.5
-2.0,-0.5
-2.0,-0.5
-1.5,0.5
1.0,-1.5
-2.0,-1.0
-2.0,0.5
2.0,-0.5
13.0,13.0
-1.0,0.0
-1.5,0.5
9.5,7.0
-1.0,0.0
0.0,-2.5
3.0,1.0
0.0,1.0
4.0,1.5
0.5,1.0
-1.5,0.5
-1.5,-0.5
1.0,-1.0
-1.0,0.0
-1.5,0.0
1.5,-0.5
-1.0,0.5
-1.0,-0.5
4.5,3.0
4.0,1.5
2.0,1.5
0.5,1.0
-2.0,0.0
1.5,-1.5
-1.5,0.0
-1.5,0.0
1.0,0.5
-0.5,-3.0
-0.5,0.5
-1.5,0.0
-0.5,0.5
4.0,1.0
-0.5,-0.5
-1.5,-1.0
-1.5,-0.5
1.0,-0.5
-1.5,0.0
0.0,1.0
-2.0,-0.5
3.5,0.5
-1.5,0.0
-2.0,-0.5
-1.5,-0.5
0.5,-2.0
-1.0,0.0
-0.5,0.0
-2.0,0.0
4.0,1.5
-1.0,0.0
-1.5,-0.5
-0.5,-3.0
-1.5,-0.5
-2.0,-0.5
-0.5,0.5
4.0,3.0
-0.5,0.5
2.0,2.5
-2.5,-1.0
-1.5,-3.5
-2.0,-1.0
7.5,7.0
1.5,-1.0
-1.5,0.5
4.5,4.5
-0.5,0.0
1.5,-1.0
0.5,0.0
0.0,0.5
-1.0,-3.0
-1.5,0.0
-1.0,0.0
-2.0,0.0
-0.5,-3.0
-1.5,0.0
0.0,1.0
-1.5,-0.5
6.0,4.0
-1.5,0.5
-2.0,-0.5
1.5,-1.0
-1.5,0.0
-2.0,-0.5
0.5,-2.5
-1.5,-1.0
0.5,0.5
-1.5,0.0
1.5,-1.5
-1.5,-0.5
-2.0,-0.5
1.5,2.0
-1.0,-3.0
-1.0,1.0
0.5,1.0
-2.0,-0.5
-1.0,-3.5
-1.0,0.5
-1.5,0.5
85.0,85.5
3.0,1.0
-1.5,0.5
-1.5,-3.0
-0.5,1.0
-1.5,0.0
0.5,1.0
0.5,-1.5
1.0,1.0
0.0,-0.5
-0.5,-2.5
2.5,2.0
1.0,1.0
-1.5,-0.5
1.5,-1.0
-0.5,0.5
-0.5,-0.5
10.0,8.0
-1.0,-0.5
0.0,-3.0
7.5,7.0
0.5,-1.0
-2.0,0.0
-1.0,0.0
-2.0,-0.5
6.5,4.0
-1.5,0.5
62.5,62.5
1.0,-1.5
-1.0,0.0
-1.0,1.0
1.0,-1.0
-1.5,0.0
-1.0,-0.5
4.0,1.5
1.0,0.0
0.5,-1.5
-2.0,0.0
0.0,0.0
-1.5,-0.5
0.0,-2.5
-1.0,0.0
-1.0,0.0
2.0,2.5
1.0,-1.5
-1.5,-0.5
3.0,3.0
-0.5,0.5
0.5,-2.0
-2.0,-1.0
4.5,3.5
1.5,2.0
-1.5,-2.5
-1.5,0.0
9.0,10.5
-2.0,-0.5
-1.0,-2.5
-0.5,-0.5
-2.0,-0.5
-0.5,-2.5
1.5,2.5
0.0,0.5
-1.5,-1.0
4.0,1.0
-2.0,0.0
6.0,3.5
51.5,52.0
-2.5,0.0
1.5,-1.0
-0.5,-0.5
5.0,2.5
0.5,0.0
1.5,2.0
-0.5,0.5
3.5,1.5
-0.5,0.5
1.0,2.5
5.5,6.5
2.5,0.5
2.5,2.0
0.0,-2.0
0.5,-2.0
-1.5,0.5
1.0,-1.5
0.0,-0.5
1.5,2.0
-1.5,-1.0
3.0,1.0
-1.5,0.0
-1.5,-0.5
0.0,-2.5
-0.5,0.5
-1.0,0.0
9.0,6.5
-2.0,0.5
-2.0,-0.5
6.0,4.0
1.0,1.5
-2.0,-0.5
0.5,-2.0
-1.5,-0.5
-2.0,0.0
-2.0,0.0
4.5,2.0
-2.5,-0.5
69.5,68.5
0.5,0.0
0.0,-2.0
0.5,0.0
-1.0,0.0
3.5,1.0
-1.0,0.5
-1.5,0.0
0.5,-1.5
-2.0,-1.0
2.0,2.5
6.0,4.5
0.5,1.5
3.5,4.0
-0.5,-3.0
-2.0,0.0
-0.5,0.5
0.5,0.5
-2.0,-3.0
2.0,2.0
-1.5,-1.5
-1.5,-0.5
-0.5,-3.0
-2.0,-1.0
-1.0,0.0
-1.0,0.5
2.5,-0.5
-1.5,0.5
-1.5,0.0
-1.0,-3.0
-1.0,0.5
-1.5,0.5
0.0,0.0
0.0,-2.5
-1.0,0.5
-1.5,-0.5
-1.5,0.0
1.0,-2.0
-1.5,-1.5
10.5,9.5
-1.0,0.0
10.5,8.0
8.0,7.5
-1.5,-0.5
-2.0,-0.5
-0.5,-2.5
-1.0,0.5
-1.5,0.0
-1.5,0.0
6.0,4.0
-1.0,0.0
-0.5,1.0
0.0,1.0
-1.0,-3.5
1.0,0.0
1.5,1.0
5.5,5.5
-1.0,-3.0
-1.5,-1.5
0.0,0.5
5.0,2.5
1.0,0.5
2.0,2.0
-1.5,-0.5
-1.0,-3.0
-1.0,0.0
-2.0,-0.5
-2.0,0.0
-1.0,-2.5
-1.5,0.0
1.0,1.0
1.0,1.5
-0.5,-2.5
-2.0,-0.5
-1.5,0.0
-2.0,0.5
-1.5,1.0
-1.5,4.0
6.5,4.5
-2.5,-1.0
-1.5,0.0
0.5,-2.0
-1.5,0.5
-1.5,-0.5
0.5,1.0
2.5,1.0
0.0,1.0
6.0,6.5
-1.5,0.5
1.0,-1.5
-2.0,0.5
-1.5,0.5
0.5,0.0
3.0,1.0
1.0,2.0
-0.5,1.0
-2.0,-0.5
1.5,-2.0
-1.5,-0.5
-1.0,-1.0
-2.0,-0.5
31.5,29.0
-1.0,0.5
-1.0,0.0
1.0,-1.5
-1.0,0.0
0.5,1.0
-1.0,0.5
1.5,-0.5
8.5,8.0
-1.5,0.5
5.0,2.0
2.0,1.5
6.5,6.0
1.0,1.5
2.0,-1.0
1.0,1.5
1.0,0.5
-1.5,0.0
-1.5,-3.0
-1.5,-0.5
8.5,8.0
-1.5,0.0
0.5,-1.0
-2.0,0.0
-2.0,0.0
-1.5,-0.5
-0.5,-3.0
-2.0,-1.0
-1.5,0.0
2.0,0.0
-2.5,-0.5
-0.5,0.5
-0.5,0.0
0.5,-2.0
-1.5,-0.5
5.5,3.5
-1.0,-1.0
1.5,-0.5
-1.0,-3.5
-0.5,0.0
5.5,3.0
-1.0,0.0
1.5,1.0
-0.5,-2.5
-2.5,-1.0
12.5,12.5
-1.0,-3.5
2.5,2.0
-1.5,-0.5
-1.0,0.0
-0.5,0.0
-1.5,0.0
-2.0,0.0
1.0,1.0
0.0,-2.5
-0.5,0.5
-1.5,-0.5
0.0,-2.5
-1.5,-0.5
-1.5,-1.5
4.0,2.0
0.0,0.0
0.0,0.0
-1.5,0.0
2.5,0.0
-1.5,0.0
-0.5,0.0
-1.5,0.0
-1.5,-2.5
-1.5,0.0
-0.5,0.0
-2.0,1.0
-0.5,-3.0
-2.0,-0.5
-1.0,1.0
-1.0,0.0
2.0,-1.0
-0.5,1.0
1.5,1.5
-2.0,-0.5
0.0,-2.5
-1.0,-0.5
-1.5,0.5
0.0,0.5
1.5,-1.5
-1.0,0.0
-1.0,1.0
-1.0,0.0
-0.5,-2.5
0.0,1.0
-1.0,0.0
7.5,7.5
-0.5,0.0
2.0,2.0
3.0,0.0
2.0,2.0
2.0,0.5
-1.5,-0.5
1.0,2.0
-0.5,-0.5
5.0,3.5
5.0,4.5
-1.0,0.0
-0.5,0.5
1.0,-1.0
-1.5,1.0
6.5,6.0
7.5,8.0
0.0,-3.0
0.0,1.0
-1.0,0.0
1.5,-1.0
-1.5,-1.0
0.5,0.5
0.5,-1.0
-1.0,0.0
5.5,4.0
-1.0,-1.0
-1.5,0.5
-1.5,0.0
-1.0,-3.0
0.0,-0.5
-1.0,0.5
-1.0,0.0
1.0,-2.0
-2.0,0.0
-0.5,0.0
-0.5,-3.0
-1.5,0.0
-0.5,0.0
3.0,4.5
-1.0,0.5
-0.5,-0.5
2.0,0.0
0.0,0.5
-1.0,1.0
