LEGNAGO,BOSCHI S.ANNA
5.0,8.5
2.5,4.5
2.5,4.0
5.5,8.5
2.5,3.5
7.0,10.5
3.0,4.0
3.0,5.0
2.5,5.0
3.5,5.5
3.5,6.0
4.5,6.5
5.0,7.5
3.5,6.0
3.5,5.5
4.0,6.5
3.0,5.5
3.5,8.5
6.0,9.0
3.0,5.0
4.5,6.5
3.0,4.5
4.0,6.5
3.5,5.0
4.0,5.5
4.0,6.0
4.5,6.0
4.0,5.5
5.0,6.5
6.5,10.0
3.5,6.0
3.0,4.5
2.5,4.5
3.5,5.5
7.0,8.5
3.0,5.0
4.5,8.0
2.5,4.5
2.5,3.5
4.0,6.0
5.5,7.5
4.5,6.5
3.0,4.5
2.5,5.0
6.0,9.0
4.5,7.0
5.0,6.5
3.5,4.5
2.5,4.0
3.5,5.0
2.5,4.5
3.0,4.5
2.5,4.0
3.0,5.0
3.0,4.5
3.5,5.5
2.5,4.5
4.0,6.0
3.5,5.5
4.5,7.5
2.5,4.0
3.0,5.5
5.0,6.5
6.0,8.5
47.0,52.5
3.0,4.0
3.5,6.0
3.0,5.0
4.5,7.5
2.5,3.5
19.0,21.0
5.0,7.5
3.5,5.0
3.0,4.5
3.5,5.5
3.0,5.0
3.0,4.5
3.5,5.0
4.0,6.0
3.5,5.5
4.0,7.0
4.0,6.5
3.0,5.0
4.5,6.5
4.0,6.0
4.0,6.5
3.0,5.5
3.5,5.5
4.0,6.0
2.5,4.0
4.0,6.0
5.0,7.0
13.0,15.5
4.0,5.0
3.0,4.5
5.0,7.0
3.0,5.0
4.0,6.0
5.5,8.0
7.5,9.0
3.5,4.5
3.5,6.5
6.5,8.0
5.5,9.0
7.0,8.0
2.5,4.5
3.5,6.0
8.0,10.0
2.5,4.0
4.0,5.5
4.5,8.0
3.0,4.0
3.5,5.0
4.5,6.0
3.0,5.0
5.0,6.5
3.0,4.5
11.0,12.0
2.5,4.0
28.5,34.5
3.5,7.0
3.5,5.5
4.0,4.5
6.0,8.5
4.5,6.0
4.5,7.0
4.0,7.0
