CHIUSI C.T.,AREZZO
49.5,40.5
-2.0,2.0
6.0,4.0
-1.0,-3.0
-2.0,-6.5
-0.5,-1.5
2.0,-0.5
5.5,-7.5
22.0,12.0
-2.0,3.5
3.0,0.0
23.0,15.0
0.0,5.5
-0.5,-0.5
0.0,1.0
3.5,5.5
8.5,5.5
-1.5,6.0
20.5,13.5
-1.5,-0.5
9.0,-2.0
-0.5,2.0
293.0,298.5
2.5,5.0
5.0,8.5
-2.0,1.5
5.0,2.0
5.5,5.0
3.0,5.0
2.5,4.5
-1.0,-0.5
1.0,0.5
19.5,13.5
12.5,3.5
67.0,58.0
1.0,1.5
-1.0,0.5
20.5,8.0
5.0,4.0
19.0,15.5
0.0,-3.0
-2.0,2.0
-1.0,6.5
-2.0,1.0
25.0,22.5
3.5,1.5
11.5,6.0
2.0,-2.5
3.0,-3.0
1.5,6.0
-0.5,3.0
-1.5,-2.0
-1.5,-4.0
1.0,-11.5
7.5,2.5
14.0,2.5
0.5,1.0
4.5,4.0
0.0,7.5
6.0,4.0
2.0,-3.0
1.0,5.5
20.5,8.0
0.5,6.0
-0.5,-10.5
1.0,-1.0
27.0,25.5
5.5,3.5
-0.5,-3.5
-1.0,-0.5
2.0,6.0
2.5,0.0
66.5,64.5
-2.5,0.0
2.0,2.5
-1.5,2.5
51.5,39.5
5.5,7.0
18.5,17.0
2.5,-1.5
18.5,5.5
0.5,2.5
45.5,34.5
6.0,-1.5
-1.5,-1.0
-1.5,0.0
2.0,4.0
10.0,0.5
6.0,0.5
0.0,-1.5
5.0,-2.0
-1.0,-1.5
-2.0,4.5
-1.0,0.5
2.0,5.5
-2.0,-4.0
5.0,-0.5
84.5,74.0
18.5,14.5
8.0,4.0
8.5,2.5
8.5,0.5
-1.0,0.5
2.5,2.0
2.0,-2.5
12.0,-1.5
19.5,13.0
8.0,2.0
-1.0,6.0
1.0,-3.5
4.5,-1.5
-1.0,4.5
16.0,3.0
28.0,17.0
11.0,9.0
17.0,10.5
3.5,-1.0
4.0,0.5
-2.0,-3.5
20.5,14.5
15.0,1.5
4.5,-1.5
-1.0,0.0
11.5,4.5
-2.0,-5.0
50.5,38.5
-0.5,2.0
23.5,14.0
-1.5,-2.0
-2.0,-3.0
1.0,4.5
23.0,14.5
-0.5,4.0
9.0,3.0
-2.0,5.0
24.5,14.0
32.0,18.0
