BOLOGNA C.LEAV,PADOVA
0.5,-1.5
-1.0,-4.0
-4.0,0.5
8.0,11.0
4.5,4.0
11.0,6.0
29.0,28.5
3.5,1.0
5.0,2.0
11.0,8.5
13.5,16.5
7.0,4.0
409.5,419.5
6.5,1.5
16.0,18.0
4.0,4.0
11.5,5.5
1.0,1.0
1.5,-2.5
12.5,10.5
18.5,15.5
7.5,6.5
26.5,27.0
8.0,4.0
12.5,11.0
28.0,33.0
5.0,2.5
0.0,-1.5
46.0,53.0
22.5,22.0
1.5,1.0
1.5,-1.0
7.5,7.0
5.5,1.5
0.5,5.5
9.0,9.5
21.5,20.0
-0.5,0.0
-0.5,2.5
15.0,14.0
34.0,34.0
10.0,4.5
1.5,-2.5
33.5,33.5
7.0,12.0
9.0,5.0
20.0,17.5
7.5,3.5
3.0,1.0
13.5,12.5
9.0,5.5
20.0,20.5
5.5,0.5
17.0,19.5
17.0,20.0
8.5,6.0
5.5,-1.0
1.0,3.0
29.5,34.0
25.5,28.0
83.0,84.5
10.5,10.5
9.0,6.0
12.5,13.5
29.5,34.5
10.5,10.5
8.0,9.5
15.5,13.5
2.5,-2.0
5.5,9.5
-2.0,-4.0
18.0,19.0
23.0,28.0
7.5,2.5
9.5,5.0
0.5,0.0
33.0,34.0
5.0,0.5
47.0,52.5
13.0,15.5
