PADOVA,TERME EUGANEE-ABANO-MONTEGR.
3.0,1.0
11.5,10.0
6.0,5.0
3.5,2.0
6.0,3.5
9.5,6.0
15.5,11.5
3.0,0.0
6.5,4.0
1.0,-2.0
1.5,-1.5
1.5,-2.0
4.5,1.5
0.0,-1.5
4.0,0.5
5.0,2.0
5.5,2.0
3.5,1.0
6.5,6.0
2.5,0.0
3.5,1.5
4.0,3.0
3.5,0.5
2.5,1.0
2.5,-0.5
1.0,-1.5
1.5,-2.0
1.5,0.0
1.0,-2.0
3.0,1.5
6.0,9.5
1.0,-1.0
1.0,0.0
1.0,-2.0
0.0,-2.5
7.0,5.5
4.5,4.5
9.0,8.5
3.5,5.0
1.5,-2.0
3.0,2.5
4.5,3.0
1.0,-2.0
5.5,3.0
5.5,4.0
4.0,2.5
8.0,6.0
4.0,3.5
3.0,3.0
2.5,1.5
2.0,0.5
11.0,10.0
3.0,6.0
2.0,-0.5
10.5,10.0
3.0,2.0
34.0,31.5
6.5,4.0
8.5,5.5
2.5,0.5
1.5,-1.0
1.0,-1.0
2.5,0.5
17.0,13.0
0.5,-2.0
1.5,-2.0
4.0,1.5
5.0,2.0
3.0,0.0
2.5,-0.5
6.0,4.0
3.0,2.0
3.0,0.0
5.0,7.0
2.5,0.0
3.5,0.5
4.5,2.5
8.0,5.0
12.5,9.5
1.0,-1.5
4.5,1.0
5.5,3.5
4.0,4.0
3.0,0.0
6.0,4.5
0.5,-2.0
6.5,4.0
1.0,-1.5
2.0,1.0
4.0,2.0
0.5,-1.5
1.0,1.0
2.0,-1.0
1.5,6.5
0.5,-2.5
6.0,5.5
3.0,0.0
7.0,5.5
2.0,-1.0
7.5,5.5
