PADOVA,BOLOGNA C.LE
2.5,4.5
1.0,5.0
1.5,3.0
0.0,1.5
1.5,4.5
2.5,5.0
1.0,-1.0
2.5,7.0
0.0,0.0
5.0,5.0
2.5,6.5
0.0,4.5
1.5,7.5
0.0,1.5
3.5,9.0
4.0,5.0
0.5,0.0
-0.5,7.0
5.0,16.5
2.0,21.0
4.0,2.5
1.5,1.5
0.0,4.0
6.5,8.0
2.0,8.0
9.0,14.5
0.0,-0.5
2.5,3.0
1.5,3.5
1.5,5.0
47.5,88.0
6.5,10.0
0.0,1.5
4.0,2.0
69.0,104.5
4.0,-19.0
1.5,14.5
32.5,36.5
2.5,1.0
1.5,13.0
9.0,9.5
0.0,3.0
0.0,-2.0
-1.0,-4.5
1.5,3.0
7.0,8.5
-1.0,-3.5
1.0,2.0
3.5,3.5
4.0,4.0
1.5,-3.0
5.0,3.5
0.0,1.5
-1.0,-6.0
4.0,5.0
1.0,0.0
2.5,-1.5
1.0,-0.5
3.0,5.5
-0.5,-4.0
1.5,-3.5
-2.0,-5.0
-1.0,-2.0
-0.5,-3.0
3.5,1.5
6.5,6.5
5.5,2.5
5.5,6.5
0.0,-3.5
9.0,5.5
2.0,-1.5
0.0,-4.5
1.0,-1.5
1.0,0.5
1.5,3.5
4.5,5.0
3.0,-0.5
2.5,8.0
1.0,-0.5
1.5,3.0
2.0,4.5
-0.5,10.0
0.5,1.5
-0.5,-0.5
0.0,2.5
1.0,4.5
2.5,8.5
1.5,7.0
0.0,4.5
5.0,7.5
1.5,-0.5
2.5,5.5
3.0,10.5
3.0,0.0
2.0,11.5
6.5,10.0
3.5,3.5
1.5,3.5
3.0,2.0
4.0,6.0
