CASTEL S.GIOVANNI,S.NICOLO'
21.0,19.0
3.0,1.5
1.0,-0.5
55.0,54.5
2.0,7.0
-1.5,-1.0
-0.5,-1.5
-0.5,4.0
3.0,1.0
0.0,0.0
2.5,-0.5
1.0,0.0
-1.0,-2.0
1.5,1.5
9.0,6.5
-0.5,0.5
2.5,4.5
4.0,2.5
-0.5,-1.5
0.0,2.5
-0.5,-2.5
14.5,13.0
1.5,0.0
0.0,0.0
0.0,-1.0
0.5,-1.5
22.0,25.0
-0.5,-0.5
2.5,2.5
33.0,31.5
0.0,-1.0
-1.0,-1.0
-1.0,-1.5
1.5,0.5
-0.5,-1.5
2.0,3.0
-0.5,3.5
0.0,-0.5
3.0,2.5
-0.5,-3.0
0.0,-1.5
5.5,3.5
0.0,-2.0
0.5,1.5
-1.0,-1.0
0.5,-0.5
0.0,-0.5
2.5,0.5
-0.5,-0.5
1.5,-0.5
0.5,0.0
0.0,-1.5
0.0,0.0
0.0,-1.0
23.0,21.5
1.0,-1.5
-1.0,-0.5
1.5,0.5
12.0,14.0
0.0,-0.5
2.5,1.5
1.5,0.5
1.0,2.5
0.5,0.0
-0.5,-0.5
-0.5,-2.0
-1.0,-3.0
-1.0,-2.5
0.0,6.5
2.0,-0.5
0.0,-0.5
1.5,2.5
-1.5,1.0
0.0,0.5
2.0,2.0
0.5,-1.5
-0.5,1.5
-0.5,-1.0
11.0,9.5
-1.0,-2.0
81.0,93.5
0.0,-1.5
0.5,1.5
1.5,0.0
0.0,0.5
1.0,4.0
41.5,39.5
1.5,-0.5
-0.5,-0.5
-0.5,-0.5
2.0,0.0
0.0,-0.5
0.0,-2.0
0.5,0.0
0.0,2.5
2.5,0.5
3.0,1.0
0.5,-1.5
2.0,2.5
-0.5,1.0
