SAMOGGIA,CASTELFRANCO D'EMILIA
2.0,1.0
1.0,0.0
1.0,0.5
1.0,-0.5
1.0,0.0
1.5,0.5
1.0,1.0
1.5,0.0
2.5,0.5
20.5,22.0
1.5,0.0
1.0,0.0
0.5,-1.0
1.5,0.5
1.0,0.5
2.0,0.5
1.0,-0.5
3.0,2.0
1.0,0.0
3.0,1.5
1.0,-1.0
1.5,-0.5
1.5,0.5
1.5,1.0
1.5,-0.5
1.5,0.0
2.5,1.5
0.5,3.0
1.0,0.0
1.0,-0.5
4.0,3.0
1.5,0.5
4.5,3.0
1.0,-0.5
3.0,2.0
1.0,0.0
6.0,6.0
1.0,-0.5
1.5,1.0
0.5,-0.5
3.0,2.0
1.0,0.0
1.5,0.0
1.5,0.5
2.0,2.0
1.0,0.0
1.0,3.0
1.0,1.0
1.0,-0.5
9.5,7.5
0.5,0.0
1.0,0.5
1.5,1.0
1.5,0.5
1.0,0.0
2.0,1.5
1.0,0.5
4.0,2.5
1.5,0.0
1.5,0.5
2.5,1.0
1.0,-0.5
1.0,-1.0
2.5,2.0
1.0,0.0
1.0,-0.5
1.0,-0.5
1.0,-0.5
2.5,1.0
1.5,0.5
1.0,-0.5
4.0,3.0
3.0,2.0
2.5,1.0
4.5,6.0
1.5,0.5
1.0,0.5
1.5,1.0
1.5,0.5
1.0,0.0
2.0,1.5
1.5,-0.5
0.5,-1.0
4.5,4.0
1.0,-0.5
1.5,0.5
1.0,-0.5
23.5,22.0
53.0,51.0
17.0,15.5
0.5,-1.0
1.0,-0.5
1.0,1.5
8.0,6.5
3.0,2.0
1.5,0.0
2.0,0.5
2.5,4.0
2.0,0.5
40.0,38.0
