BOLOGNA C.LE,CASTELFRANCO D'EMILIA
3.0,2.5
1.0,0.5
1.5,3.0
1.5,2.0
2.0,2.5
1.5,4.5
1.0,2.5
2.5,2.5
1.0,2.5
2.5,3.0
1.5,1.0
1.5,2.5
1.0,1.5
1.0,1.0
1.0,1.5
2.0,2.5
1.5,1.5
1.5,4.0
1.5,1.5
10.5,10.5
1.5,1.5
2.0,2.5
1.5,1.5
1.0,1.5
2.0,3.0
1.0,1.0
2.0,3.0
1.0,1.5
2.5,3.5
2.0,3.0
1.5,0.0
1.5,2.5
1.0,1.0
5.0,4.0
3.0,3.5
2.0,3.5
1.0,18.5
1.0,-0.5
5.5,5.5
1.0,3.0
1.0,1.0
1.0,4.0
1.5,4.0
1.0,1.5
1.0,2.0
8.5,7.5
1.5,15.5
1.5,1.0
3.5,4.0
1.5,2.0
4.0,2.5
1.5,1.5
4.0,3.5
4.0,5.5
1.0,1.5
1.0,5.0
1.0,-0.5
31.0,41.5
1.0,22.5
1.5,2.0
2.0,2.5
1.0,0.5
1.0,0.5
1.0,6.5
2.0,6.0
3.0,4.0
1.5,8.0
1.5,1.0
1.0,3.0
1.5,0.5
2.0,1.5
1.5,1.5
0.5,1.5
13.0,17.0
1.0,0.5
1.0,4.0
3.5,3.0
1.0,16.0
2.5,3.0
1.5,1.5
1.5,1.0
1.0,1.5
1.5,1.0
0.5,-1.0
1.5,1.0
2.5,2.0
1.0,1.0
1.0,2.0
2.0,2.5
1.0,1.5
1.0,1.0
1.5,2.0
3.5,3.5
3.0,6.5
1.5,4.0
1.5,2.0
2.0,7.0
7.5,6.5
22.5,81.0
1.0,6.5
