ROMA TERMINI,CHIUSI C.T.
10.0,3.0
9.0,15.5
43.0,33.5
25.0,12.0
14.0,5.0
4.0,1.0
2.0,-5.0
0.0,-4.0
1.0,9.0
1.0,-6.0
0.0,-4.0
1.0,-1.5
4.0,0.0
16.0,8.0
1.0,-3.5
3.0,-5.0
8.0,5.0
12.0,8.5
19.0,17.0
11.0,9.5
0.0,-7.5
0.0,1.5
5.0,0.5
1.0,-2.0
5.0,3.5
22.0,21.0
21.0,15.0
53.0,48.5
20.0,26.0
4.0,2.0
0.0,-8.0
1.0,-2.5
1.0,-8.0
16.0,12.0
11.0,17.0
1.0,-2.5
4.0,-1.5
0.0,-4.0
0.0,2.5
0.0,-5.5
29.0,32.0
0.0,-5.0
9.0,1.0
15.0,10.5
0.0,-1.5
19.0,-4.5
0.0,-3.0
6.0,32.5
20.0,22.0
5.0,1.0
12.0,10.0
0.0,-6.5
1.0,-5.5
1.0,6.5
23.0,17.0
16.0,13.5
38.0,27.0
0.0,-3.5
0.0,-0.5
1.0,0.5
12.0,5.5
23.0,13.0
44.0,49.5
6.0,7.5
1.0,-8.0
7.0,4.0
0.0,6.5
65.0,61.5
0.0,-7.0
4.0,2.5
17.0,8.5
0.0,-6.5
10.0,4.0
7.0,-1.5
0.0,-5.0
3.0,-0.5
10.0,5.5
12.0,12.5
0.0,-6.5
16.0,11.0
12.0,3.5
0.0,3.0
1.0,2.0
