BOLOGNA C.LEAV,MILANO CENTRALE
-0.5,-2.5
3.5,4.5
-1.0,2.0
0.0,8.0
1.0,13.0
1.0,0.5
0.5,-2.5
1.0,2.0
2.0,7.5
-1.5,6.0
-0.5,-2.0
0.0,1.0
3.5,11.0
-3.0,-3.0
4.0,3.5
0.5,-1.0
0.0,5.5
-3.5,-1.5
3.0,13.5
4.0,9.0
2.0,0.5
-0.5,0.5
-1.5,4.0
-0.5,-3.0
3.5,7.0
1.0,-3.5
-1.0,5.0
-0.5,-0.5
13.0,13.5
2.0,3.0
1.0,0.5
0.0,5.0
2.0,7.0
1.5,-1.0
-0.5,3.0
0.5,-2.5
-1.0,2.0
4.0,3.0
9.0,15.0
7.5,12.0
2.5,0.5
-1.5,0.0
-1.5,2.5
4.0,8.0
-2.5,-1.0
-1.5,2.0
-0.5,2.0
-2.5,-4.0
0.5,4.0
12.0,17.0
-1.0,0.0
-2.5,16.5
1.0,0.0
0.0,2.5
30.5,48.5
0.5,3.5
3.5,17.5
1.0,5.0
-0.5,4.0
-2.5,0.0
0.5,6.5
1.0,-0.5
2.0,29.0
-2.0,-2.5
-0.5,0.0
-2.0,2.0
-0.5,-0.5
2.0,5.0
-1.5,-1.5
1.0,13.0
-3.5,0.5
0.0,2.5
4.5,9.5
3.5,0.5
3.5,1.5
-3.0,0.5
4.5,3.0
1.5,-1.5
4.5,11.0
-4.5,0.5
0.0,0.0
-2.5,4.0
1.5,-3.0
-1.5,-5.0
17.0,18.0
1.5,6.0
-1.0,5.5
-0.5,1.5
0.5,0.5
2.0,-0.5
-2.0,0.0
-3.5,-1.5
1.5,0.5
0.0,-2.0
1.5,4.5
0.0,-1.5
0.5,-0.5
2.0,5.0
-0.5,-2.5
4.0,5.0
