IMOLA,BOLOGNA C.LE
4.0,-0.5
5.5,0.5
5.5,2.0
6.5,2.0
2.5,1.5
3.0,3.5
5.0,5.0
1.0,-2.0
3.5,0.0
4.0,3.0
12.5,10.5
7.5,3.0
4.5,1.5
5.0,1.5
0.5,-2.5
2.5,1.5
4.5,3.5
6.0,4.0
8.0,10.0
3.5,2.0
-0.5,-1.5
11.5,8.5
3.5,3.5
8.0,5.0
2.5,0.0
8.5,4.5
1.0,-2.5
5.0,4.5
6.5,3.0
5.5,2.5
3.5,1.5
2.5,0.0
6.5,2.0
11.0,8.5
43.5,47.0
2.0,-2.5
7.0,5.0
5.5,9.0
1.5,-2.0
1.5,0.0
4.5,0.5
6.5,3.5
4.5,0.5
3.5,1.0
8.0,4.5
18.0,21.5
4.0,2.5
9.5,5.0
5.5,1.5
3.5,-0.5
5.0,2.0
2.0,2.0
4.5,0.5
3.5,1.0
3.0,1.0
3.0,5.5
3.0,1.0
6.5,5.0
1.5,-0.5
46.0,47.5
8.0,5.0
3.5,4.0
7.5,6.0
4.0,0.5
10.5,13.0
7.0,12.5
2.0,-3.0
4.5,3.0
1.5,0.0
4.5,4.0
13.0,11.5
2.5,3.0
0.5,-1.0
19.0,16.0
12.5,13.0
6.5,6.5
3.0,1.0
5.5,1.0
3.5,1.0
25.0,26.0
5.0,4.5
9.0,8.0
7.0,7.5
10.0,11.5
6.0,2.5
9.0,7.0
3.5,1.0
3.0,-0.5
6.5,2.5
3.5,4.0
3.0,-2.0
5.5,1.5
6.0,3.0
3.0,1.0
0.5,-3.5
69.0,65.0
4.0,2.0
17.5,26.0
2.5,2.5
3.0,-0.5
