TRIESTE CENTRALE,MONFALCONE
0.5,-0.5
0.5,0.0
3.0,1.5
0.5,1.5
2.0,0.0
0.5,1.0
0.5,0.0
4.0,2.0
1.0,1.5
0.5,0.0
0.5,0.5
1.0,2.0
0.5,3.0
0.5,2.0
0.0,0.5
0.0,3.5
0.5,1.0
0.0,0.0
1.0,1.0
0.5,-2.0
1.0,1.0
0.0,-0.5
2.0,2.0
1.0,0.5
1.0,5.0
0.0,1.5
0.0,0.0
0.5,1.5
1.0,21.0
0.0,0.5
0.0,0.5
2.0,3.0
4.0,8.5
0.0,2.5
17.5,17.5
0.0,-1.0
2.0,2.0
0.5,-0.5
0.5,5.5
0.0,0.0
0.5,0.5
1.0,0.0
7.0,5.0
0.5,2.0
5.0,5.0
0.0,1.0
0.5,0.5
0.0,0.5
0.0,0.0
0.5,0.0
0.0,1.5
0.0,0.5
0.0,2.5
0.5,1.5
1.5,0.0
0.0,5.0
0.5,1.0
1.0,1.0
0.5,0.5
0.5,0.0
1.0,0.5
0.0,0.0
0.0,0.0
1.0,-0.5
0.0,-2.0
1.0,0.0
0.5,0.0
0.0,0.5
0.5,0.0
1.5,0.5
23.5,24.5
3.0,2.0
0.5,0.0
0.5,1.0
0.5,0.0
0.5,0.0
0.5,-1.0
0.5,4.0
0.0,0.0
0.5,1.0
2.0,1.0
1.5,2.0
0.5,1.0
1.0,0.0
1.0,0.5
0.5,1.5
0.0,0.0
0.0,0.0
1.0,2.0
1.0,1.5
1.0,2.5
6.5,32.5
0.0,-1.0
5.5,4.0
0.0,1.0
0.0,0.0
2.0,4.0
0.5,1.0
0.5,-0.5
0.5,3.5
