BOLOGNA C.LEAV,FIRENZE S.M.N.
6.0,1.5
0.5,-0.5
0.0,0.5
6.5,2.5
10.0,6.0
8.0,7.5
3.5,0.0
3.0,-1.5
0.5,1.0
-0.5,0.0
2.5,1.0
0.5,4.0
10.5,12.5
5.0,1.0
0.5,-0.5
7.0,2.5
2.5,1.5
4.5,5.5
7.0,8.5
-0.5,-0.5
7.5,5.5
12.0,8.5
1.0,2.0
-0.5,3.5
11.5,9.0
1.0,1.0
6.0,10.0
0.5,5.0
6.5,3.5
0.0,1.0
13.5,20.5
14.0,16.5
5.0,8.0
5.5,7.5
7.5,3.5
5.0,1.5
5.0,6.5
7.5,2.5
4.0,5.0
-1.5,0.0
9.5,7.0
3.0,1.5
0.5,-3.0
2.5,0.5
4.0,7.0
14.5,13.0
-1.0,6.0
0.5,2.5
-0.5,10.5
-1.0,12.0
3.5,1.0
6.5,15.5
5.0,9.5
0.5,9.0
10.5,5.5
9.5,5.0
0.5,-0.5
2.5,8.0
5.5,0.0
9.0,11.5
-1.5,7.5
1.0,8.0
1.0,2.5
6.0,9.0
10.0,13.0
10.0,11.0
5.5,10.5
2.5,2.5
4.0,2.5
-1.0,7.0
20.5,18.0
5.0,2.5
6.5,5.5
5.0,1.0
-0.5,-1.0
6.0,5.0
4.5,2.5
4.5,3.0
4.0,2.0
1.0,1.0
9.5,10.0
8.5,3.5
27.0,39.0
-0.5,0.0
-1.5,1.0
4.0,3.5
24.5,28.5
0.5,5.0
-0.5,0.5
-1.5,-3.0
4.5,0.5
1.5,-2.0
3.0,2.0
18.5,19.5
1.0,2.0
8.0,3.5
1.5,0.0
7.5,5.0
-0.5,-1.5
7.5,8.0
