IMOLA,CASTEL S.PIETRO TERME
8.0,7.5
2.0,1.5
1.5,3.5
1.5,2.0
2.5,2.5
2.0,0.5
2.0,0.5
2.0,1.5
4.0,3.0
37.0,39.0
1.5,1.0
2.0,0.0
4.0,2.5
8.0,7.5
5.5,4.5
1.5,0.5
7.0,8.5
2.0,1.0
4.5,3.0
2.0,2.0
3.5,2.0
2.5,2.5
1.5,1.5
5.0,5.0
4.0,3.5
1.5,2.0
1.5,2.5
2.0,1.5
1.5,2.0
2.0,1.0
5.0,4.5
9.5,10.5
13.0,12.0
1.5,3.5
2.5,1.5
2.0,1.0
1.5,2.5
2.5,3.5
1.0,2.0
1.0,1.5
3.0,2.5
1.5,3.0
1.5,-0.5
7.5,7.0
2.0,1.5
4.0,2.5
12.5,12.0
2.0,2.5
1.5,1.0
1.5,1.5
1.5,2.0
1.5,2.0
2.5,2.5
5.5,4.5
5.5,5.5
4.0,4.0
1.5,0.0
1.5,2.5
1.5,1.5
1.5,0.0
2.5,1.5
5.5,5.5
2.0,1.0
2.5,2.5
14.0,13.5
1.5,1.0
4.5,3.5
2.0,2.0
6.0,4.0
6.5,14.0
1.5,1.5
2.0,1.0
9.0,11.5
2.5,2.0
2.0,1.5
2.0,1.5
2.5,2.0
1.0,1.0
10.5,8.5
1.5,2.0
9.5,9.0
4.5,4.5
3.0,9.5
2.0,1.5
1.5,1.5
2.0,1.0
3.0,3.0
1.0,1.5
2.5,1.0
2.0,1.5
11.5,9.5
2.5,2.5
6.0,5.5
1.5,0.0
6.5,7.0
5.0,5.0
4.5,2.5
2.5,2.5
5.0,5.0
1.5,1.0
