CASTEL S.GIOVANNI,STRADELLA
-2.5,-2.0
-2.0,-0.5
-1.5,-0.5
4.5,5.5
-1.0,1.0
-1.0,-1.0
0.5,-1.0
-3.0,0.0
-2.0,-2.5
-1.0,0.0
-0.5,1.0
0.5,0.5
-0.5,1.5
4.5,4.5
4.5,4.0
3.0,1.5
-2.5,0.5
-2.0,-1.0
1.5,0.5
0.5,1.5
5.5,5.5
1.5,2.0
0.0,0.0
-0.5,-1.0
3.5,1.5
0.5,0.0
0.0,-1.0
1.5,1.5
-3.0,-1.0
0.0,-0.5
-1.0,-1.5
2.5,3.5
0.5,-1.0
1.5,0.0
2.5,2.5
-1.0,-0.5
-2.5,0.0
1.5,0.0
-2.0,0.0
-0.5,0.5
-1.0,-1.5
-1.0,3.0
-2.5,0.0
2.0,2.0
1.0,2.0
17.5,44.0
-1.0,-1.5
1.0,1.0
1.0,0.5
-3.0,-1.0
-1.5,-1.5
1.0,1.0
24.0,26.0
-0.5,1.0
-0.5,-1.0
-2.0,-0.5
-1.0,-2.0
7.0,7.0
-1.5,-1.5
2.5,2.5
1.5,0.5
0.0,0.0
0.0,-1.0
-1.0,0.0
36.0,37.0
3.0,2.0
0.0,1.0
0.5,1.0
0.0,1.0
-2.5,-0.5
0.0,1.5
1.0,1.0
-2.0,-1.5
0.0,-0.5
-0.5,-0.5
48.5,59.5
-1.0,-1.5
0.0,15.0
-1.5,-1.0
0.5,-0.5
-1.0,0.0
0.5,0.0
-2.0,0.0
-3.0,-1.0
3.0,6.5
-1.5,-2.0
1.0,1.5
-3.0,-2.0
-0.5,0.0
5.0,4.0
-2.5,0.5
-3.0,-1.5
15.0,16.5
-1.0,1.5
-1.0,-0.5
7.5,6.5
-1.0,4.0
0.0,-0.5
3.5,4.5
21.0,19.0
