day,timeslot_delay
22-01-2018,8.345454545454547
23-12-2017,6.768041237113401
27-09-2017,6.029801324503312
07-01-2018,5.553072625698326
27-11-2017,5.517467248908294
18-10-2017,5.651041666666667
08-12-2017,5.629080118694363
03-02-2018,5.669270833333333
14-11-2017,5.669270833333333
20-10-2017,5.440366972477065
10-12-2017,5.41719077568134
01-11-2017,5.531976744186048
07-02-2018,5.699655765920828
18-11-2017,5.548309178743961
24-10-2017,5.531484257871065
14-12-2017,5.531484257871065
05-10-2017,5.4804469273743015
26-01-2018,5.452349869451699
27-12-2017,5.503645200486026
17-12-2017,5.438953488372094
10-10-2017,5.463186813186813
29-01-2018,5.5494335736354286
04-11-2017,5.416256157635466
23-11-2017,5.4736594543744115
09-10-2017,5.391989198919893
03-01-2018,5.386735572782085
05-12-2017,5.4046052631578965
12-02-2018,5.4046052631578965
20-12-2017,5.483807266982622
17-01-2018,5.510566037735847
14-10-2017,5.453226976069615
08-11-2017,5.413165266106441
13-11-2017,5.473396998635743
02-10-2017,5.477332457293036
19-10-2017,5.459073604060914
28-09-2017,5.447980416156673
04-02-2018,5.4358591885441525
06-01-2018,5.4179411764705865
07-12-2017,5.424137931034483
30-11-2017,5.4116318464144575
23-01-2018,5.370065789473686
24-12-2017,5.397915553180118
10-01-2018,5.397915553180118
27-01-2018,5.374738493723849
28-12-2017,5.399286078531363
23-10-2017,5.410294852573713
17-11-2017,5.382496343247196
02-11-2017,5.380657455931396
06-10-2017,5.378710575139147
13-12-2017,5.407449209932279
16-12-2017,5.401018600531444
27-10-2017,5.373095341750106
08-02-2018,5.392660161221891
31-01-2018,5.417703150912108
05-11-2017,5.388798037612427
11-10-2017,5.376354877559215
22-11-2017,5.366732283464567
04-12-2017,5.361776061776065
15-10-2017,5.351335877862596
26-11-2017,5.337476459510359
02-01-2018,5.3213889915035075
21-12-2017,5.3821402747650025
09-11-2017,5.3821402747650025
18-01-2018,5.418534329420133
29-11-2017,5.465221950367004
01-02-2018,5.50222755311857
29-09-2017,5.483708431306682
24-01-2018,5.457204230006613
25-12-2017,5.447583278902678
03-10-2017,5.4258426966292115
12-12-2017,5.464319545311023
22-10-2017,5.439630903972475
29-12-2017,5.435652709359608
07-10-2017,5.4183859223300965
28-01-2018,5.401646706586825
16-11-2017,5.4041580654674135
03-11-2017,5.379285299244624
05-02-2018,5.432135728542915
09-01-2018,5.41205394773813
15-01-2018,5.417477076965822
30-12-2017,5.399890290729567
06-11-2017,5.396696452748443
15-12-2017,5.421094793057411
30-01-2018,5.419075144508672
10-02-2018,5.420554691550028
21-11-2017,5.4001278772378525
01-01-2018,5.412746585735965
09-02-2018,5.421309018236322
12-10-2017,5.421309018236322
26-10-2017,5.395658608781452
16-10-2017,5.379956215032838
30-09-2017,5.3759018759018735
05-01-2018,5.360721918784142
19-01-2018,5.356037514654159
31-10-2017,5.338900487125959
20-01-2018,5.339257051135058
22-12-2017,5.366523021093219
19-12-2017,5.4267665474060784
25-11-2017,5.402436323366557
08-01-2018,5.4048556430446215
09-12-2017,5.383690708252109
26-09-2017,5.38256684491979
02-02-2018,5.406348871546086
21-01-2018,5.410594639865997
04-10-2017,5.424694427180445
15-11-2017,5.4117827868852455
17-10-2017,5.40233265720081
28-11-2017,5.408798714343112
08-10-2017,5.386875124477195
06-02-2018,5.398976982097187
11-12-2017,5.452399455993788
21-10-2017,5.434180138568128
25-01-2018,5.4556612749762134
26-12-2017,5.445680875141455
20-11-2017,5.436939461883406
16-01-2018,5.432815102720708
07-11-2017,5.423986796258941
31-12-2017,5.411855763977417
11-02-2018,5.40810615634591
25-10-2017,5.385936661298979
19-11-2017,5.37936253561254
04-01-2018,5.361895517119666
30-10-2017,5.371453590192643
24-11-2017,5.361019307705689
13-10-2017,5.359841297222695
06-12-2017,5.368619390202121
01-10-2017,5.360194009530296
18-12-2017,5.394790085988875
