STRADELLA,CASTEL S.GIOVANNI
20.5,21.0
2.0,1.5
1.0,3.0
8.5,9.0
5.5,6.0
54.5,55.0
8.5,9.0
1.0,2.0
13.5,13.0
5.0,5.5
1.5,3.0
53.5,55.0
8.5,9.0
2.0,2.5
13.5,14.0
6.0,6.5
14.5,14.5
16.5,16.5
1.5,2.5
21.5,22.0
28.0,33.0
10.0,10.0
26.0,25.5
1.0,1.0
0.5,2.5
3.0,3.5
12.5,14.0
1.5,3.0
11.5,11.0
2.5,5.5
43.0,44.0
21.0,20.0
10.5,12.0
45.5,45.5
1.0,1.5
3.0,2.5
2.5,1.5
23.0,23.0
22.5,24.0
2.0,2.5
11.0,12.0
1.5,2.0
8.5,9.0
2.5,3.0
2.0,1.0
21.5,21.0
0.5,2.0
6.0,13.0
7.0,7.0
3.0,3.0
1.0,2.0
10.5,11.5
9.0,11.0
47.0,81.0
2.0,1.5
32.5,33.5
1.0,1.0
40.5,41.5
2.5,2.0
1.5,1.5
13.5,14.0
0.5,2.0
1.0,2.0
0.5,1.0
3.0,5.0
1.0,2.5
0.5,6.5
1.5,3.0
0.5,2.0
12.5,13.5
31.0,31.0
10.0,9.0
1.0,1.0
13.0,13.0
1.5,1.0
9.0,9.5
23.5,24.0
1.5,1.0
3.5,4.0
3.5,2.5
32.5,33.5
31.5,32.0
22.5,22.5
28.5,29.0
4.0,5.5
11.5,12.0
1.5,2.0
4.0,4.5
2.0,3.0
8.0,9.0
0.5,0.5
3.0,3.5
10.0,11.0
2.0,1.5
19.0,20.0
3.0,2.5
1.5,5.0
6.0,7.0
20.0,20.5
12.0,11.0
