PADOVA,BOLOGNA C.LE
1.0,5.0
1.5,3.0
2.0,21.0
2.5,3.0
1.5,3.5
1.5,5.0
1.5,13.0
1.5,3.0
1.0,2.0
4.0,4.0
1.5,3.5
4.5,5.0
1.5,3.0
0.5,1.5
1.5,7.0
2.5,5.5
2.0,11.5
0.5,0.5
3.5,2.5
0.5,0.5
0.5,7.0
1.5,4.5
1.0,5.5
1.0,1.5
3.5,7.0
1.5,3.0
1.0,2.5
3.5,17.5
2.0,5.5
2.5,2.0
0.5,1.5
3.5,4.5
1.5,7.5
4.5,7.0
1.5,2.0
6.5,6.5
2.0,3.0
1.0,4.0
3.5,16.5
4.0,11.5
4.5,7.0
5.0,3.0
1.5,9.5
1.0,4.0
4.0,15.5
0.5,2.5
2.0,4.0
3.5,4.0
1.0,5.0
1.0,1.0
0.5,5.0
2.5,2.5
2.0,8.5
1.5,4.0
0.5,19.0
4.0,4.5
2.0,7.5
2.0,10.5
0.5,2.0
1.5,6.5
2.0,1.0
2.0,0.5
4.0,2.0
2.0,4.0
2.0,7.0
6.0,7.0
1.0,1.0
5.5,4.0
3.0,4.0
1.5,4.5
2.0,14.0
7.5,3.5
1.0,0.5
1.0,2.5
4.5,1.5
0.5,4.5
6.5,6.0
2.0,3.0
7.0,2.5
3.0,4.5
1.5,2.5
1.0,3.0
5.5,6.0
2.5,6.0
8.0,7.0
1.0,5.0
4.5,7.0
2.5,2.0
0.5,4.0
2.5,2.5
0.5,4.0
1.5,2.0
8.0,9.5
1.0,4.5
1.0,3.0
0.5,3.5
2.0,10.5
2.5,1.5
9.5,6.5
0.5,1.0
