BOLOGNA C.LEAV,REGGIO EMILIA AV
5.5,7.0
1.0,6.0
9.0,10.5
9.0,13.0
16.0,17.0
4.5,5.0
4.0,5.5
3.0,4.0
1.0,2.0
3.5,3.5
5.0,5.5
3.5,4.5
6.0,8.0
1.5,3.0
1.0,1.5
3.0,4.0
4.5,5.5
2.5,3.0
9.5,12.5
3.0,4.0
10.5,19.5
1.5,2.0
7.5,16.0
12.0,13.0
2.5,2.0
2.5,3.5
19.5,20.5
4.0,5.0
9.5,11.5
4.5,5.0
12.5,12.5
3.0,3.0
8.0,9.0
4.0,5.5
27.0,28.5
0.5,2.5
6.5,6.5
1.0,3.5
5.0,5.5
8.0,18.5
13.5,15.5
4.5,6.5
3.5,4.5
12.0,12.5
0.5,1.0
4.0,4.5
3.5,5.5
5.0,11.0
1.5,3.0
5.5,7.0
2.0,2.0
2.0,4.5
4.0,4.5
1.5,1.5
13.0,13.5
8.0,8.5
2.0,6.0
5.0,6.5
1.0,1.0
0.5,2.5
12.5,13.5
1.0,1.0
26.5,26.0
1.5,3.0
2.5,4.0
1.5,3.0
0.5,2.5
5.5,6.0
0.5,1.5
6.0,7.5
3.5,5.5
8.5,10.5
3.5,4.5
3.0,3.5
2.5,4.0
2.0,2.0
1.5,5.5
0.5,1.5
9.5,12.0
2.0,3.5
22.5,25.5
3.5,3.5
0.5,4.0
5.5,5.5
0.5,3.0
1.0,10.5
4.5,6.0
6.5,7.5
1.5,7.0
1.5,1.5
10.0,13.0
1.5,4.5
12.0,14.0
8.5,16.0
8.0,9.0
3.5,4.5
1.5,2.5
14.0,15.5
21.5,24.5
1.5,4.0
