TARANTO,METAPONTO,FERRANDINA
1.5,-1.5,1.5
1.0,-2.0,1.0
1.0,-0.5,1.0
2.0,0.5,2.5
1.5,-2.0,0.5
2.5,-0.5,1.0
1.0,-2.5,1.0
0.5,-2.5,0.0
1.0,-2.5,0.5
1.0,-1.5,0.5
1.0,-3.5,0.5
1.5,-1.5,0.0
0.5,-2.0,2.0
0.5,-2.5,-0.5
1.0,-2.5,20.5
0.0,-0.5,2.5
1.5,-1.5,-0.5
0.5,-3.0,2.0
0.5,-3.0,-0.5
0.5,-2.5,0.5
2.0,0.0,2.5
0.5,-2.0,0.5
1.0,-0.5,2.0
0.5,-3.5,-0.5
1.5,-1.5,1.0
0.5,-3.5,-0.5
0.5,-2.0,1.0
1.5,-1.0,3.0
1.0,8.5,10.5
1.0,-0.5,3.0
1.5,-2.0,-0.5
1.0,1.5,5.0
0.5,-3.5,-0.5
0.5,-3.5,0.0
0.5,-2.5,0.0
9.5,6.0,7.5
0.0,-2.0,1.0
1.0,-2.5,0.5
0.5,-2.5,0.5
1.0,-2.5,0.0
0.0,-3.0,0.5
1.5,-2.5,0.5
1.0,-1.5,0.0
1.5,-1.0,1.5
1.0,-2.0,1.5
1.0,-2.5,1.0
0.5,-2.5,0.5
1.0,-3.0,0.5
1.5,-1.5,1.5
1.0,-3.0,0.0
1.0,-1.0,1.5
1.0,-2.5,27.0
1.5,-2.0,2.5
0.5,1.5,4.5
1.0,-1.5,1.0
0.5,-1.5,2.0
1.0,-2.0,0.5
0.5,-1.5,1.0
17.0,14.5,17.0
2.0,-1.5,1.5
0.5,22.5,22.5
1.0,-1.5,4.5
0.5,-3.0,0.5
1.0,-1.0,1.0
0.5,-2.5,0.5
0.5,-3.0,2.0
1.0,-1.5,2.0
1.0,-0.5,1.5
1.0,-1.5,1.5
1.0,-0.5,4.0
2.0,-1.5,0.0
0.5,-1.5,1.0
1.0,3.5,6.5
1.0,-1.5,1.5
1.0,-3.0,1.0
1.5,-1.5,3.5
1.0,-3.0,-0.5
0.5,9.0,10.0
1.0,-2.0,0.5
1.0,0.0,1.5
1.0,-2.5,0.0
1.0,-2.5,-0.5
1.0,-1.5,1.0
0.5,-2.5,1.5
0.5,-3.0,0.0
0.5,-3.5,-0.5
1.5,-0.5,1.0
0.5,-2.0,0.0
0.5,-2.0,2.0
0.5,-1.5,1.0
1.0,-0.5,1.0
1.0,-2.0,-0.5
1.0,15.0,16.0
0.5,-3.0,-0.5
0.5,-3.0,0.0
1.0,-1.0,0.5
1.0,-0.5,2.0
1.5,-1.5,0.5
1.0,-2.0,1.0
1.5,0.5,3.0
