BRINDISI,BARI CENTRALE
13.0,6.5
0.5,2.0
2.0,0.5
3.0,0.5
0.5,7.0
1.5,1.0
2.0,2.0
0.5,1.0
7.0,3.0
3.0,4.5
1.0,3.0
1.5,2.0
1.5,4.5
2.0,0.5
4.5,3.0
0.5,0.5
2.0,3.0
2.0,1.0
1.5,1.0
10.5,14.5
1.5,1.0
1.5,1.0
2.5,4.0
16.5,13.0
1.5,7.5
1.0,3.5
0.5,3.5
5.0,3.0
0.5,3.5
3.0,6.5
10.5,2.0
2.5,1.0
1.0,10.0
2.5,2.0
2.5,20.0
2.5,1.0
2.5,4.0
2.0,0.5
1.0,2.0
11.5,7.0
16.0,13.0
0.5,4.0
0.5,7.0
0.5,5.0
2.0,3.5
2.5,2.5
2.0,2.5
6.0,7.0
17.5,14.5
0.5,1.5
2.0,0.5
0.5,2.0
0.5,2.0
2.5,7.0
0.5,2.0
1.0,1.0
1.5,2.0
2.0,0.5
1.0,0.5
1.5,0.5
3.5,13.5
0.5,4.0
0.5,4.5
2.0,23.0
7.5,1.5
0.5,1.0
8.0,7.5
1.5,2.5
1.5,0.5
4.5,5.5
0.5,26.0
2.0,1.5
7.5,2.0
1.0,0.5
1.0,1.0
1.5,2.0
2.0,1.5
5.5,4.0
0.5,1.0
1.5,0.5
4.0,1.0
3.0,1.0
1.5,5.0
2.0,2.5
0.5,1.0
0.5,3.0
0.5,3.5
4.5,3.0
16.5,12.0
2.0,0.5
1.5,10.5
5.0,29.0
3.0,6.0
3.5,13.0
3.0,4.0
29.0,23.5
4.5,0.5
1.0,4.0
2.0,2.0
3.0,4.0
