MILANO ROGOREDO,LODI
0.5,2.0
9.0,8.5
1.5,4.0
1.0,3.0
1.5,1.5
6.0,5.0
3.0,3.5
0.5,2.5
2.0,10.0
1.0,1.0
1.0,2.0
0.5,4.5
1.5,1.5
1.5,1.5
2.0,1.5
13.5,8.5
16.0,18.5
20.5,23.5
1.0,2.0
1.5,1.0
19.0,19.0
1.0,1.0
2.5,4.0
1.5,1.0
1.0,3.5
2.0,3.0
1.0,1.0
1.0,2.0
2.5,3.0
2.0,0.5
12.0,11.5
0.5,6.5
1.0,1.0
0.5,1.5
7.0,4.0
1.0,2.5
5.5,8.0
2.0,5.0
1.0,1.0
1.5,3.5
0.5,1.5
1.0,2.0
1.0,3.0
2.0,3.5
0.5,0.5
1.0,2.5
1.0,1.5
2.0,5.5
1.5,2.0
3.0,2.5
1.5,2.0
1.0,2.5
2.0,3.0
1.5,3.0
1.0,3.5
1.0,1.0
1.0,2.0
4.5,7.5
5.0,7.0
1.0,2.5
3.5,6.0
0.5,1.0
10.5,10.0
0.5,2.0
1.0,2.0
2.0,2.0
5.0,7.5
1.0,0.5
3.5,3.5
0.5,2.0
1.0,2.0
4.5,8.0
3.0,4.0
0.5,2.0
0.5,1.5
2.0,7.5
2.0,3.5
0.5,1.5
2.0,6.5
1.0,5.0
11.5,2.0
0.5,2.5
3.0,3.5
2.5,4.0
1.5,3.0
1.5,1.5
2.0,6.0
1.0,2.5
0.5,1.5
6.5,6.5
1.0,1.5
1.5,2.0
0.5,0.5
12.5,5.0
1.5,1.5
0.5,2.5
4.5,6.5
1.0,1.0
1.0,1.0
1.0,1.5
