ROMA TIBURTINA,FIRENZE S.M.N.
2.5,3.5
0.5,3.0
3.5,9.5
2.0,10.5
1.0,3.0
1.5,7.0
2.0,10.0
0.5,3.0
7.0,10.5
0.5,12.0
2.5,3.5
0.5,5.0
12.0,12.5
9.0,13.5
0.5,16.0
1.0,4.5
2.5,3.5
0.5,3.0
2.0,2.5
10.0,23.5
5.0,2.5
5.5,6.5
4.0,6.5
0.5,7.0
0.5,3.0
4.0,9.0
1.5,0.5
7.0,7.0
5.5,11.0
0.5,6.5
2.0,1.0
0.5,1.5
7.0,9.0
1.0,5.0
0.5,7.5
4.5,6.0
1.0,2.0
0.5,26.0
3.0,2.5
0.5,9.5
5.0,13.0
8.0,18.5
3.0,7.5
2.5,4.5
3.0,10.5
1.5,8.5
1.5,13.5
1.5,9.5
1.5,0.5
2.0,7.0
3.0,8.5
4.5,4.0
2.5,1.5
0.5,9.0
3.0,14.0
2.0,3.5
2.5,12.0
8.5,9.5
2.0,5.5
2.0,12.5
0.5,18.0
4.5,3.0
0.5,3.0
0.5,2.0
0.5,4.5
4.0,9.5
4.0,4.0
3.0,4.5
1.0,9.0
1.5,4.5
1.0,18.5
1.5,1.5
4.0,8.5
7.0,15.0
2.5,4.0
0.5,4.0
8.0,16.5
3.0,8.5
1.5,3.5
2.5,0.5
5.0,7.5
3.0,16.5
0.5,0.5
3.5,3.0
4.0,8.0
0.5,6.0
19.0,20.5
10.5,14.5
5.5,8.5
5.0,11.0
7.0,6.5
1.5,9.5
0.5,8.0
1.0,6.0
7.0,17.5
1.0,6.0
4.5,2.5
7.5,0.5
17.5,26.5
4.0,8.5
