MILANO CENTRALE,MILANO ROGOREDO,LODI
4.5,3.5,-3.0
0.5,-0.5,-1.0
1.5,0.5,-1.5
0.5,1.5,-0.5
0.5,-0.5,-1.0
13.0,13.5,8.5
1.0,0.0,-7.5
2.0,0.5,-0.5
2.5,2.0,0.5
1.5,0.0,-0.5
1.0,-1.0,-1.5
2.0,1.5,-2.0
1.0,0.0,1.0
1.5,1.0,-1.0
1.0,0.5,0.0
1.0,0.5,-1.0
2.0,0.5,-0.5
1.5,0.5,-1.0
1.0,0.0,-2.0
1.5,0.5,-4.0
40.5,38.5,30.0
3.5,3.0,-3.5
0.5,-0.5,-1.0
1.5,0.0,0.0
11.0,11.5,2.0
2.0,1.0,0.0
1.5,1.5,0.0
3.5,3.0,-1.0
10.5,12.5,5.0
2.0,1.0,-1.0
1.0,-2.0,-1.5
1.0,-1.5,3.5
14.0,12.0,3.5
6.0,6.0,1.5
1.0,1.0,8.5
3.5,2.5,-1.5
1.0,0.0,0.0
1.5,0.0,0.0
5.5,4.5,-2.0
31.0,34.0,26.0
1.0,4.0,-6.0
30.0,33.0,28.5
3.0,2.0,3.5
5.5,4.0,-1.5
8.5,14.0,6.5
8.0,8.0,0.5
2.5,2.5,2.5
1.0,1.0,-0.5
1.0,2.5,1.5
1.5,1.0,1.0
1.0,0.0,-1.0
36.0,36.0,29.0
1.5,0.0,1.5
1.0,0.0,1.0
1.5,3.0,-1.0
0.5,0.5,-1.0
22.5,24.5,19.0
6.5,6.0,-1.5
1.5,0.0,2.0
1.0,-1.5,-0.5
2.5,1.5,-0.5
1.5,-1.0,-1.0
5.0,4.5,0.0
1.0,-0.5,-0.5
3.0,2.0,-2.5
4.0,2.0,0.0
3.0,2.5,0.5
1.0,0.5,1.0
1.0,-0.5,-1.5
16.5,17.5,11.5
0.5,-0.5,-8.0
1.5,0.5,0.5
1.0,0.0,2.5
1.0,1.0,0.5
6.0,5.0,0.5
1.5,0.5,0.0
1.0,0.0,2.5
1.0,0.0,-0.5
11.0,11.0,9.5
2.0,1.0,7.5
4.5,4.0,-1.0
2.5,1.5,-1.0
1.0,-0.5,-1.0
1.0,0.0,2.0
4.0,4.0,3.0
0.5,-1.0,1.5
1.0,-0.5,-0.5
1.0,1.5,-2.5
1.0,-0.5,-1.0
2.0,0.5,3.5
2.0,1.0,-1.0
16.5,18.5,9.5
3.5,5.5,-1.0
3.5,3.5,-0.5
1.0,0.0,-1.5
18.0,18.5,10.5
2.0,1.0,-1.0
1.5,1.5,0.0
1.5,0.0,-1.5
9.0,8.5,1.0
