MILANO CENTRALE,REGGIO EMILIA AV,BOLOGNA C.LEAV
1.5,5.0,6.0
1.5,-1.5,0.5
0.5,-2.0,0.0
1.5,3.5,6.5
1.5,6.5,10.0
2.0,7.5,8.0
1.0,1.5,3.5
1.0,2.5,3.0
1.5,0.5,0.5
1.5,-2.0,-0.5
1.5,3.0,2.5
1.0,0.0,0.5
2.0,9.0,10.5
2.5,4.0,5.0
3.5,-0.5,0.5
2.0,7.0,7.0
3.0,3.0,2.5
4.0,2.5,4.5
1.0,4.0,7.0
1.0,-2.5,-0.5
4.5,5.0,7.5
3.5,11.5,12.0
1.5,-1.0,1.0
3.5,-1.5,-0.5
0.5,10.0,11.5
0.5,1.0,1.0
2.0,2.5,6.0
2.0,-1.0,0.5
1.0,5.5,6.5
2.0,-2.5,0.0
4.0,10.0,13.5
2.5,13.0,14.0
1.0,4.0,5.0
1.0,0.5,5.5
2.5,7.5,7.5
2.0,3.5,5.0
2.0,1.5,5.0
2.0,6.5,7.5
1.5,0.5,4.0
1.0,-3.5,-1.5
2.5,9.0,9.5
0.5,2.5,3.0
0.5,1.0,0.5
0.5,2.0,2.5
2.0,-0.5,4.0
0.5,14.5,14.5
1.0,-3.0,-1.0
2.0,-1.5,0.5
1.0,-2.0,-0.5
1.5,-2.0,-1.0
2.0,3.5,3.5
2.0,6.0,6.5
2.0,2.5,5.0
1.5,-1.0,0.5
5.5,9.5,10.5
0.0,8.0,9.5
2.0,-0.5,0.5
0.5,1.0,2.5
3.0,5.0,5.5
1.5,-1.5,9.0
1.0,-3.0,-1.5
2.5,0.5,1.0
1.0,-0.5,1.0
2.0,6.0,6.0
2.0,8.5,10.0
4.0,9.0,10.0
1.5,-1.5,5.5
1.5,0.0,2.5
2.0,3.0,4.0
1.0,-2.5,-1.0
1.0,19.0,20.5
0.5,4.5,5.0
1.5,5.5,6.5
1.5,4.5,5.0
2.0,-1.5,-0.5
2.5,4.5,6.0
1.0,-1.5,4.5
1.0,2.0,4.5
1.0,1.5,4.0
1.0,-1.5,1.0
2.5,7.5,9.5
1.0,8.0,8.5
10.5,23.5,27.0
1.0,-1.5,-0.5
0.5,-3.5,-1.5
2.5,1.0,4.0
1.5,24.0,24.5
1.0,-2.5,0.5
3.0,-1.0,-0.5
0.5,-3.5,-1.5
1.5,3.0,4.5
1.5,0.0,1.5
3.0,2.0,3.0
2.0,15.5,18.5
1.5,0.0,1.0
3.5,8.0,8.0
3.0,0.5,1.5
5.5,7.5,7.5
1.5,-2.5,-0.5
3.5,7.0,7.5
