PADOVA,BOLOGNA C.LEAV,FIRENZE S.M.N.
2.0,6.0,5.0
1.0,1.5,12.0
1.5,2.5,5.0
2.0,6.5,10.5
1.0,1.0,5.0
2.0,3.5,5.5
1.5,3.5,8.5
3.0,3.5,13.0
0.5,3.5,3.0
1.5,0.5,4.5
3.5,3.5,3.0
2.5,9.0,14.0
4.0,9.5,15.5
4.5,8.0,11.0
1.0,1.0,4.5
3.5,14.5,16.5
1.0,14.0,15.5
1.0,1.5,2.0
1.5,5.0,6.5
1.0,4.5,13.5
3.0,2.0,6.0
2.0,2.0,4.0
3.0,5.5,14.5
1.0,1.5,6.5
1.0,2.0,6.0
0.5,7.0,11.5
2.0,2.5,11.5
3.5,3.0,5.5
0.5,4.0,8.5
0.5,9.0,14.5
0.5,6.0,4.0
3.0,7.0,16.0
0.5,3.0,2.5
1.0,5.5,6.0
3.0,1.5,3.0
1.5,6.0,13.5
0.5,1.5,0.5
0.5,3.0,11.5
1.0,0.5,5.0
7.0,14.5,16.5
0.5,3.0,2.5
3.5,2.5,3.5
1.0,0.5,0.5
2.0,6.0,7.0
1.5,2.5,3.5
1.0,1.5,8.5
1.0,4.5,8.0
2.0,8.0,5.5
4.0,7.0,17.5
1.5,4.5,16.0
3.0,2.0,6.0
3.5,3.5,2.5
2.0,3.0,6.0
2.5,0.5,1.5
1.0,4.0,6.0
1.0,3.5,1.0
1.5,3.0,5.0
0.5,4.0,4.0
1.5,3.5,3.0
2.0,11.5,9.5
