MILANO CENTRALE,MILANO LAMBRATE,MILANO ROGOREDO
4.5,2.5,4.5
3.0,1.0,2.5
2.0,0.5,3.5
4.0,2.0,4.5
3.5,2.0,4.0
2.5,0.5,2.0
2.0,0.5,2.0
2.0,0.5,2.0
3.0,1.0,2.5
2.5,1.0,3.0
3.5,2.0,3.5
1.5,0.5,3.0
4.5,2.5,4.5
3.0,1.5,3.5
6.5,4.5,7.0
2.5,0.5,3.0
6.0,4.5,7.0
7.0,5.5,7.0
4.5,3.0,4.0
3.0,1.5,5.0
2.5,1.0,4.5
8.0,7.0,9.5
3.5,2.0,4.0
4.5,2.5,3.5
3.5,2.5,6.0
4.5,2.5,4.5
2.0,1.0,3.0
11.5,12.0,14.0
11.0,9.0,10.0
2.0,1.0,3.0
3.0,2.0,4.0
5.5,3.5,9.5
26.5,24.5,26.5
2.5,1.5,3.0
38.0,36.0,37.0
2.5,1.0,5.5
3.5,3.0,5.5
2.5,0.5,3.5
2.0,1.0,3.0
4.0,3.0,4.0
3.0,2.5,4.5
5.0,3.0,5.5
3.0,2.5,5.0
3.0,1.0,4.0
3.5,1.5,3.5
5.0,3.0,6.5
4.0,2.5,5.0
2.0,0.5,2.5
3.0,1.0,5.5
8.0,6.0,12.5
8.0,6.0,7.5
1.5,1.5,6.0
6.0,4.0,5.5
3.0,2.0,4.0
3.0,1.0,3.5
2.0,0.5,3.5
1.5,1.0,3.5
5.5,3.5,5.5
8.5,7.0,8.0
4.0,2.0,3.5
