NAPOLI CENTRALE,ROMA TERMINI,FIRENZE CAMPO MARTE
7.5,3.0,5.5
19.5,13.0,7.5
1.5,1.0,9.0
1.0,3.0,4.0
3.0,8.0,11.5
4.5,3.0,6.5
1.5,7.0,11.0
3.0,3.0,9.5
1.5,1.0,10.0
5.0,1.0,13.0
2.5,1.0,0.5
5.0,2.0,7.0
89.5,280.0,411.0
6.0,2.0,4.5
3.5,9.0,25.0
8.0,2.0,4.5
3.0,2.0,5.5
1.5,1.0,6.5
4.5,5.0,5.5
9.0,4.0,7.0
3.0,6.0,5.5
1.0,16.0,11.5
13.5,14.0,11.5
6.5,3.0,5.5
5.0,1.0,8.0
1.0,2.0,5.5
1.0,1.0,20.0
1.0,2.0,6.0
3.5,2.0,8.5
1.5,2.0,26.5
4.5,8.0,10.5
7.5,4.0,17.0
4.0,2.0,5.0
1.5,9.0,12.0
5.0,4.0,28.5
7.0,1.0,1.5
12.0,8.0,5.0
2.5,2.0,5.0
2.0,2.0,3.0
12.5,2.0,4.0
1.5,1.0,6.5
1.5,1.0,16.0
11.0,19.0,9.5
1.5,3.0,16.5
4.0,7.0,11.5
12.5,16.0,10.5
1.5,7.0,4.0
2.5,38.0,48.5
5.0,1.0,11.5
6.0,5.0,6.5
1.5,3.0,5.0
3.0,3.0,30.5
3.0,3.0,10.5
2.5,16.0,17.5
1.5,3.0,7.5
2.5,1.0,0.5
1.5,2.0,5.5
4.0,4.0,3.5
7.0,1.0,10.5
3.0,2.0,11.0
