RAVENNA,MEZZANO,ALFONSINE
3.0,2.5,2.0
7.0,7.5,2.0
3.5,1.5,1.5
2.0,2.5,0.5
1.5,2.0,3.0
1.5,0.5,0.5
3.0,1.5,2.0
4.0,1.5,2.0
1.5,0.5,1.0
3.0,0.5,1.5
3.5,1.0,1.5
1.5,2.0,2.5
3.5,1.0,1.5
3.0,1.0,1.5
3.5,1.0,2.0
1.5,3.0,1.0
4.0,1.5,2.0
5.5,3.0,3.5
3.5,1.5,2.0
5.5,3.0,3.0
3.0,1.0,2.0
12.0,9.5,4.0
4.5,2.0,3.0
3.5,1.5,2.0
2.5,0.5,1.5
2.5,1.0,2.5
2.0,2.5,1.0
1.5,2.0,1.5
2.0,1.5,6.5
2.0,1.0,2.5
13.5,18.0,15.5
2.5,0.5,1.5
3.0,0.5,1.0
6.0,3.5,4.0
2.5,0.5,1.5
9.5,7.0,1.5
1.5,1.0,1.5
1.5,1.0,3.0
2.5,0.5,0.5
3.5,1.0,1.5
1.5,1.0,2.0
1.5,3.5,0.5
27.0,26.5,20.5
1.0,0.5,0.5
1.0,2.0,2.5
2.0,3.0,0.5
10.5,8.0,8.5
3.5,1.0,2.0
2.5,0.5,2.5
5.5,5.0,9.0
4.5,5.5,2.0
1.5,0.5,1.5
6.0,5.5,4.5
1.5,4.5,3.0
3.5,1.0,2.5
3.5,1.0,2.0
4.0,2.0,2.0
58.0,54.0,49.0
4.5,2.0,2.0
2.0,0.5,0.5
