SALERNO,ROMA TIBURTINA,FIRENZE S.M.N.
4.0,7.0,10.5
3.5,1.0,5.0
3.5,3.0,10.5
1.5,8.5,9.5
0.5,4.0,4.0
2.0,7.0,15.0
1.0,3.5,3.0
0.5,1.0,6.0
2.0,3.0,5.5
2.0,3.0,7.0
1.0,1.5,17.0
0.5,0.5,5.0
1.0,0.5,15.0
0.5,9.0,8.5
0.5,10.0,9.5
0.5,1.0,3.5
2.0,6.0,5.5
0.5,11.5,11.0
1.5,4.0,5.0
1.0,4.5,10.0
1.0,2.0,5.5
1.0,15.0,53.5
4.0,3.0,4.5
1.0,6.5,19.0
0.5,7.5,10.0
1.0,0.5,7.5
1.5,3.5,10.0
2.0,1.5,9.5
1.0,24.0,23.5
0.5,6.0,16.0
3.0,5.0,7.0
1.0,3.0,16.5
0.5,2.5,5.0
1.0,1.0,4.0
2.0,15.0,21.5
1.5,1.0,6.0
4.0,1.5,6.0
1.5,1.5,5.5
1.0,1.0,5.0
0.5,0.5,6.0
1.5,3.0,4.0
0.5,17.5,21.0
2.0,5.5,36.5
6.0,1.0,10.5
0.5,1.5,3.5
2.0,4.0,12.5
1.0,5.5,10.5
3.5,2.0,3.5
0.5,1.0,8.5
3.5,3.5,8.0
0.5,0.5,12.0
1.5,5.5,9.5
0.5,3.0,6.5
0.5,4.0,4.5
1.0,17.0,24.5
0.5,6.5,17.5
1.0,5.5,46.0
1.5,6.0,13.0
2.5,0.5,2.0
1.0,2.0,5.0
