MILANO CENTRALE,BOLOGNA C.LEAV,FIRENZE S.M.N.
7.5,2.0,4.5
6.5,2.5,4.0
4.5,3.0,1.0
3.0,7.5,8.5
3.5,4.5,2.0
1.0,55.0,57.0
2.0,12.0,10.5
1.0,0.5,3.5
2.5,3.5,1.0
1.0,4.5,10.5
1.5,3.0,5.5
1.0,1.0,7.5
1.0,0.5,4.0
5.0,11.5,13.5
12.5,34.0,58.5
4.5,3.0,9.5
2.5,1.5,10.0
3.0,1.5,4.0
1.5,2.0,3.5
2.5,1.0,9.0
7.0,5.0,7.5
1.5,3.0,5.0
4.5,0.5,7.5
2.0,5.5,8.0
2.0,4.0,8.5
2.5,8.5,16.5
5.5,10.0,14.0
2.5,1.5,18.5
3.0,4.5,5.0
2.5,4.5,8.5
6.0,2.0,3.5
4.0,2.5,9.5
2.0,5.5,4.5
4.5,0.5,2.0
3.0,2.5,8.0
1.5,5.0,6.0
11.5,11.0,10.0
1.5,4.0,8.5
1.5,1.0,2.0
6.0,0.5,3.0
1.5,6.0,7.5
6.0,19.5,21.5
1.5,4.0,3.5
1.5,1.5,1.0
0.5,17.0,34.5
1.5,1.5,5.0
57.0,57.5,63.5
15.0,9.0,16.0
53.0,52.5,64.0
6.5,2.5,6.5
2.0,0.5,5.0
1.5,2.5,0.5
2.0,3.0,4.5
6.5,6.0,14.5
1.5,0.5,9.0
4.5,10.0,11.5
3.0,4.5,6.0
5.0,2.0,5.5
3.0,4.5,3.5
1.5,10.0,10.5
