MILANO CENTRALE,MILANO ROGOREDO,LODI
2.5,0.5,2.0
4.0,1.0,3.0
11.5,11.0,13.5
2.5,0.5,2.5
12.0,16.0,18.5
2.0,0.5,6.5
9.0,5.5,8.0
2.5,2.0,3.5
3.5,1.5,3.5
3.0,2.0,5.5
2.0,0.5,3.0
5.5,5.0,7.0
4.0,3.5,6.0
4.0,0.5,2.0
6.0,5.0,7.5
4.0,4.5,8.0
1.5,0.5,2.5
1.5,2.0,6.5
5.5,2.0,7.5
3.0,0.5,2.5
0.5,4.0,7.0
13.5,12.0,12.0
9.0,9.5,14.0
2.5,2.0,3.5
10.0,8.5,11.5
4.5,2.5,6.0
1.5,1.0,4.0
4.0,1.0,3.0
22.0,19.5,22.0
2.0,0.5,5.0
3.0,2.0,5.0
2.0,0.5,2.0
17.0,16.0,20.5
2.5,0.5,2.5
17.0,15.0,17.0
3.5,0.5,4.5
5.5,2.5,4.0
82.5,79.0,81.5
6.0,2.5,4.5
3.5,4.5,10.0
5.5,4.0,9.5
2.5,0.5,5.0
1.0,0.5,4.5
1.5,1.0,2.5
3.0,2.0,5.0
1.5,0.5,4.5
7.0,4.0,7.0
3.0,3.5,7.5
6.5,3.5,6.0
19.0,18.5,20.5
10.5,10.5,15.5
8.5,6.0,13.0
5.5,3.0,6.0
18.0,17.5,21.5
12.0,10.0,14.0
1.0,4.0,6.0
5.5,4.0,20.5
2.5,0.5,1.5
3.5,2.0,3.0
7.5,5.0,9.0
