MILANO CENTRALE,ROMA TIBURTINA,ROMA TERMINI
4.0,33.0,30.0
1.0,7.0,5.0
1.5,5.5,4.0
4.0,16.5,12.0
1.0,7.5,5.0
1.0,10.5,8.0
2.5,9.0,5.0
0.5,7.0,3.0
3.0,3.0,4.0
1.5,4.0,1.0
1.0,8.5,6.0
0.5,6.5,6.0
2.5,3.5,1.0
2.0,4.0,1.0
1.0,5.5,3.0
2.5,4.5,1.0
1.0,8.0,5.0
1.0,2.0,3.0
1.5,36.5,33.0
3.0,5.5,5.0
4.5,11.0,11.0
3.0,3.0,5.0
0.5,6.5,2.0
1.5,3.5,3.0
2.0,11.5,9.0
1.5,11.0,11.0
2.0,2.0,1.0
0.5,8.0,5.0
1.0,2.5,4.0
2.5,8.0,5.0
4.0,6.5,3.0
1.0,6.5,2.0
1.0,8.5,6.0
2.5,8.0,6.0
1.0,4.0,3.0
3.5,19.5,17.0
1.0,13.0,12.0
1.5,9.5,7.0
2.5,7.0,15.0
1.0,1.0,2.0
1.5,10.5,12.0
2.0,4.0,1.0
1.0,7.5,5.0
1.5,1.5,2.0
1.0,6.0,6.0
3.5,11.5,7.0
2.0,9.5,7.0
1.0,3.5,1.0
2.0,1.0,2.0
2.5,6.5,12.0
2.0,1.5,3.0
2.5,1.5,7.0
0.5,2.0,4.0
1.0,5.5,4.0
2.0,1.5,1.0
2.0,4.5,1.0
3.0,7.0,5.0
5.0,5.0,4.0
0.5,5.0,5.0
1.0,2.0,1.0
